V1,V2,V3
22.9665071770335,44.6615384615385,133
23.133971291866,44.6615384615385,266
23.3014354066986,44.6615384615385,218
23.4688995215311,44.6615384615385,215
23.6363636363636,44.6615384615385,161
23.8038277511962,44.6615384615385,217
23.9712918660287,44.6615384615385,256
24.1387559808612,44.6615384615385,224
24.3062200956938,44.6615384615385,249
24.4736842105263,44.6615384615385,180
24.6411483253589,44.6615384615385,249
24.8086124401914,44.6615384615385,241
24.9760765550239,44.6615384615385,225
25.1435406698565,44.6615384615385,216
25.311004784689,44.6615384615385,198
25.4784688995215,44.6615384615385,178
25.6459330143541,44.6615384615385,159
25.8133971291866,44.6615384615385,135
25.9808612440191,44.6615384615385,122
26.1483253588517,44.6615384615385,109
26.3157894736842,44.6615384615385,96
26.4832535885167,44.6615384615385,78
26.6507177033493,44.6615384615385,67
26.8181818181818,44.6615384615385,65
26.9856459330144,44.6615384615385,56
27.1531100478469,44.6615384615385,44
27.3205741626794,44.6615384615385,37
27.488038277512,44.6615384615385,32
27.6555023923445,44.6615384615385,28
27.822966507177,44.6615384615385,29
27.9904306220096,44.6615384615385,22
28.1578947368421,44.6615384615385,7
28.3253588516746,44.6615384615385,61
28.4928229665072,44.6615384615385,123
28.6602870813397,44.6615384615385,145
28.8277511961723,44.6615384615385,113
28.9952153110048,44.6615384615385,24
29.1626794258373,44.6615384615385,-12
29.3301435406699,44.6615384615385,-20
29.4976076555024,44.6615384615385,-25
29.6650717703349,44.6615384615385,-30
29.8325358851675,44.6615384615385,-50
30,44.6615384615385,-55
-5,44.4923076923077,-4489
-4.83253588516746,44.4923076923077,-4458
-4.66507177033493,44.4923076923077,-4419
-4.49760765550239,44.4923076923077,-4209
-4.33014354066986,44.4923076923077,-4080
-4.16267942583732,44.4923076923077,-4246
-3.99521531100478,44.4923076923077,-4062
-3.82775119617225,44.4923076923077,-4037
-3.66028708133971,44.4923076923077,-3925
-3.49282296650718,44.4923076923077,-3724
-3.32535885167464,44.4923076923077,-2685
-3.15789473684211,44.4923076923077,-1743
-2.99043062200957,44.4923076923077,-1591
-2.82296650717703,44.4923076923077,-1631
-2.6555023923445,44.4923076923077,-1651
-2.48803827751196,44.4923076923077,-1469
-2.32057416267943,44.4923076923077,-787
-2.15311004784689,44.4923076923077,-262
-1.98564593301435,44.4923076923077,-142
-1.81818181818182,44.4923076923077,-99
-1.65071770334928,44.4923076923077,-66
-1.48325358851675,44.4923076923077,-41
-1.31578947368421,44.4923076923077,-2
-1.14832535885167,44.4923076923077,28
-0.980861244019138,44.4923076923077,42
-0.813397129186603,44.4923076923077,55
-0.645933014354067,44.4923076923077,74
-0.47846889952153,44.4923076923077,61
-0.311004784688995,44.4923076923077,85
-0.143540669856459,44.4923076923077,92
0.0239234449760772,44.4923076923077,88
0.191387559808613,44.4923076923077,58
0.358851674641149,44.4923076923077,76
0.526315789473685,44.4923076923077,98
0.69377990430622,44.4923076923077,103
0.861244019138756,44.4923076923077,112
1.02870813397129,44.4923076923077,154
1.19617224880383,44.4923076923077,177
1.36363636363636,44.4923076923077,215
1.5311004784689,44.4923076923077,212
1.69856459330144,44.4923076923077,265
1.86602870813397,44.4923076923077,282
2.03349282296651,44.4923076923077,316
2.20095693779904,44.4923076923077,371
