especes;LON;LAT
Prionace glauca ;3.55417;43.19028
Prionace glauca ;3.07556;42.76667
Prionace glauca ;3.47361;43.34389
Prionace glauca ;3.27778;42.68333
Prionace glauca ;3.19028;42.73111
Prionace glauca ;3.19028;42.73111
Prionace glauca ;3.27806;42.68361
Prionace glauca ;3.27833;42.68389
Prionace glauca ;3.22778;42.83278
Prionace glauca ;3.22778;42.83278
Prionace glauca ;3.10444;42.61944
Prionace glauca ;4.245;43.28333
Prionace glauca ;NA;NA
Prionace glauca ;3.39444;42.42361
Prionace glauca ;3.12361;42.71277
Prionace glauca ;3.21361;42.94194
Prionace glauca ;3.31166;42.76138
Prionace glauca ;3.31166;42.76138
Prionace glauca ;3.31166;42.76138
Prionace glauca ;3.32611;42.86777
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;3.10444;42.61944
Prionace glauca ;3.41722;42.73194
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;3.23972;42.7466667
Prionace glauca ;3.23972;42.7466667
Prionace glauca ;3.1625;42.74194
Prionace glauca ;3.27166;42.76805
Prionace glauca ;3.27666;42.98388
Prionace glauca ;3.18333;42.67777
Prionace glauca ;3.33166;42.71083
Prionace glauca ;3.43888;42.685
Prionace glauca ;3.37222;42.68888
Prionace glauca ;3.38333;42.63916
Prionace glauca ;NA;NA
Prionace glauca ;3.44583;42.55
Prionace glauca ;3.47027;42.76666
Prionace glauca ;3.26777;43.06387
Prionace glauca ;NA;NA
Prionace glauca ;3.25069;43.07416
Prionace glauca ;3.28966;43.07247
Prionace glauca ;NA;NA
Prionace glauca ;3.27692;43.08505
Pteroplatytrygon violacea ;3.33055;42.79833
